premise,hypothesis,label
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.,نخستین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل بود و جنگ های صلیبی توانست این روند را سریع کند.,e
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت,نقاشی های تزئینی و تندیس های بی‌کیفیت، یکی از ویژگی های هنر عصر اموی است.,e
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.,قبه الصخره به فرمان عبدالملک بن مروان و برای برگزاری روز عرفه بنا گردید.,e
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.,نخستین آموزشگاه عصر نبوت، مسجد النبی است.,e
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.,یکی از مهمترین نتایج ورود اندیشه‌ها به عالم اسلام و سعی و تلاش معتزلیان، رواج علم کلام است.,e
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.,سبک شعری پروین اعتصامی بیشتر سبک مناظره است.,e
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.,۲۵ اسفند در تقویم ایرانی، روز بزرگداشت پروین اعتصامی می باشد.,e
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.,پروین اعتصامی معروفترین شاعر زن ایران می باشد.,e
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.,"""مادر شعر پارسی"" لقب ""رابعه بلخی"" می باشد.",e
اقبال لاهوری نخستین کسی بود که ایدهٔ یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.,کشور پاکستان به پیشنهاد اقبال لاهوری ایجاد شد.,e
